1,1,10,20,1
1,2,10,21,1
1,3,10,30,1
1,4,10,31,1
1,5,10,40,1
1,6,10,41,1
1,7,10,50,1
1,8,10,51,1
1,1,10,20,2
1,2,10,21,2
1,3,10,30,2
1,4,10,31,2
1,5,10,40,2
1,6,10,41,2
1,7,10,50,2
1,8,10,51,2
1,1,11,20,1
1,2,11,21,1
1,3,11,30,1
1,4,11,31,1
1,5,11,40,1
1,6,11,41,1
1,7,11,50,1
1,8,11,51,1
1,1,11,20,2
1,2,11,21,2
1,3,11,30,2
1,4,11,31,2
1,5,11,40,2
1,6,11,41,2
1,7,11,50,2
1,8,11,51,2
2,1,20,10,1
2,2,20,11,1
2,3,20,30,1
2,4,20,31,1
2,5,20,40,1
2,6,20,41,1
2,7,20,50,1
2,8,20,51,1
2,1,20,10,2
2,2,20,11,2
2,3,20,30,2
2,4,20,31,2
2,5,20,40,2
2,6,20,41,2
2,7,20,50,2
2,8,20,51,2
2,1,21,10,1
2,2,21,11,1
2,3,21,30,1
2,4,21,31,1
2,5,21,40,1
2,6,21,41,1
2,7,21,50,1
2,8,21,51,1
2,1,21,10,2
2,2,21,11,2
2,3,21,30,2
2,4,21,31,2
2,5,21,40,2
2,6,21,41,2
2,7,21,50,2
2,8,21,51,2
3,1,30,10,1
3,2,30,11,1
3,3,30,20,1
3,4,30,21,1
3,5,30,40,1
3,6,30,41,1
3,7,30,50,1
3,8,30,51,1
3,1,30,10,2
3,2,30,11,2
3,3,30,20,2
3,4,30,21,2
3,5,30,40,2
3,6,30,41,2
3,7,30,50,2
3,8,30,51,2
3,1,31,10,1
3,2,31,11,1
3,3,31,20,1
3,4,31,21,1
3,5,31,40,1
3,6,31,41,1
3,7,31,50,1
3,8,31,51,1
3,1,31,10,2
3,2,31,11,2
3,3,31,20,2
3,4,31,21,2
3,5,31,40,2
3,6,31,41,2
3,7,31,50,2
3,8,31,51,2
4,1,40,10,1
4,2,40,11,1
4,3,40,20,1
4,4,40,21,1
4,5,40,30,1
4,6,40,31,1
4,7,40,50,1
4,8,40,51,1
4,1,40,10,2
4,2,40,11,2
4,3,40,20,2
4,4,40,21,2
4,5,40,30,2
4,6,40,31,2
4,7,40,50,2
4,8,40,51,2
4,1,41,10,1
4,2,41,11,1
4,3,41,20,1
4,4,41,21,1
4,5,41,30,1
4,6,41,31,1
4,7,41,50,1
4,8,41,51,1
4,1,41,10,2
4,2,41,11,2
4,3,41,20,2
4,4,41,21,2
4,5,41,30,2
4,6,41,31,2
4,7,41,50,2
4,8,41,51,2
5,1,50,10,1
5,2,50,11,1
5,3,50,20,1
5,4,50,21,1
5,5,50,30,1
5,6,50,31,1
5,7,50,40,1
5,8,50,41,1
5,1,50,10,2
5,2,50,11,2
5,3,50,20,2
5,4,50,21,2
5,5,50,30,2
5,6,50,31,2
5,7,50,40,2
5,8,50,41,2
5,1,51,10,1
5,2,51,11,1
5,3,51,20,1
5,4,51,21,1
5,5,51,30,1
5,6,51,31,1
5,7,51,40,1
5,8,51,41,1
5,1,51,10,2
5,2,51,11,2
5,3,51,20,2
5,4,51,21,2
5,5,51,30,2
5,6,51,31,2
5,7,51,40,2
5,8,51,41,2
